Time,Altitude (m),Orbital Velocity (m/s),Apoapsis (m),Periapsis (m),Inclination (deg),Battery (%),Inside Temp (K),Outside Temp (K)
7478.473582807122,675824.2114150701,1440.4836242884483,1515669.9994559637,798330.0000216983,1.1362093431569544,17.71161512895064,300.43335809412787,300.43335809412787
7479.493582807144,676296.7001426483,1439.8333550415005,1515669.999475066,798330.0000345474,1.1362093431567983,17.685857252641156,300.42531978767585,300.42531978767585
7480.513582807166,676768.7815290701,1439.1839943488906,1515669.999445249,798330.0000234523,1.1362093431550702,17.660099376331676,300.4172829784097,300.4172829784097
7481.513582807188,677231.210610701,1438.5482478029674,1515669.999438994,798330.0000288538,1.1362093431564586,17.63484608043324,300.40940521782977,300.40940521782977
7482.53358280721,677702.4841767766,1437.9006850422943,1515669.9994395387,798330.0000293653,1.1362093431546016,17.609089938077062,300.40137140598813,300.40137140598813
7483.5535828072325,678173.349268452,1437.254029406185,1515669.9994384954,798330.0000243499,1.1362093431550249,17.583332061767578,300.39333912309365,300.39333912309365
7484.553582807254,678634.5848084646,1436.6209334395382,1515669.9994358886,798330.0000240022,1.136209343155904,17.55807876586914,300.38546582958986,300.38546582958986
7485.573582807277,679104.6398487436,1435.9760728186377,1515669.9994222804,798330.0000375827,1.1362093431604767,17.53232262351296,300.3774366028722,300.3774366028722
7486.573582807298,679565.0804997042,1435.3447357226444,1515669.999437844,798330.000033454,1.1362093431586926,17.507069327614524,300.3695663230246,300.3695663230246
7487.593582807321,680034.3240206256,1434.701668171864,1515669.9994478798,798330.0000274695,1.1362093431557252,17.481311451305043,300.3615401864815,300.3615401864815
7488.613582807343,680503.1572103079,1434.059505280129,1515669.9994392765,798330.0000126795,1.136209343153757,17.455553574995562,300.3535156196119,300.3535156196119
7489.613582807365,680962.3988940448,1433.4308115878994,1515669.9994466596,798330.0000171054,1.1362093431545637,17.430302013050426,300.345649924199,300.345649924199
7490.633582807387,681430.418376721,1432.7904388335978,1515669.999444568,798330.0000193282,1.1362093431534366,17.404544136740945,300.3376284747761,300.3376284747761
7491.653582807409,681898.0264300157,1432.1509692478974,1515669.9994296911,798330.0000107189,1.1362093431520166,17.378786260431465,300.329608602832,300.329608602832
7492.653582807431,682356.0659377808,1431.5249146068536,1515669.9994455928,798330.000022665,1.1362093431533142,17.353534698486328,300.32174751806673,300.32174751806673
7493.653582807453,682813.7092979904,1430.8997270801533,1515669.999420188,798329.9999978502,1.1362093431517046,17.32828140258789,300.3138879649205,300.3138879649205
7494.673582807475,683280.0970597523,1430.2629286559618,1515669.999412733,798329.999981153,1.136209343149481,17.30252352627841,300.30587281825115,300.30587281825115
7495.673582807497,683736.9391607575,1429.6394913468123,1515669.9994274369,798329.9999926138,1.1362093431514093,17.277271964333274,300.2980164180266,300.2980164180266
7496.673582807519,684193.3840860657,1429.0169197309117,1515669.999431678,798329.999986635,1.1362093431519338,17.252018668434836,300.29016160816974,300.29016160816974
7497.693582807541,684658.5483891713,1428.382788026008,1515669.9994199844,798329.9999792323,1.1362093431505402,17.226260792125355,300.28215135889656,300.28215135889656
7498.693582807563,685114.1899905889,1427.7619636657807,1515669.999410981,798329.9999796303,1.1362093431513627,17.20100923018022,300.27429981415327,300.27429981415327
7499.713582807585,685578.5342045184,1427.1296131948425,1515669.9994385056,798330.0000052489,1.1362093431562927,17.17525135387074,300.26629292763846,300.26629292763846
7500.713582807607,686033.3711145334,1426.510534132083,1515669.9994339761,798330.0000173502,1.1362093431586795,17.1499980579723,300.25844470871635,300.25844470871635
7501.733582807629,686496.8938499042,1425.879962824987,1515669.9994369664,798330.0000135999,1.136209343157318,17.124241915616125,300.25044124165953,300.25044124165953
7502.753582807652,686960.0012548284,1425.2502891394995,1515669.9994203993,798329.9999999342,1.1362093431556533,17.09848403930664,300.24243951998625,300.24243951998625
7503.753582807673,687413.62459008,1424.633832926147,1515669.9994446258,798329.999997632,1.1362093431526912,17.073230743408203,300.2345964001207,300.2345964001207
7504.773582807696,687875.9084460372,1424.0059353934573,1515669.9994415967,798329.9999948982,1.1362093431536535,17.04747286709872,300.2265981675726,300.2265981675726
7505.793582807718,688337.7759322464,1423.378933960529,1515669.999443422,798330.0000103643,1.136209343154458,17.021714990789242,300.21860171173336,300.21860171173336
7506.79358280774,688790.1826559633,1422.7650960776257,1515669.9994452284,798330.0000205846,1.1362093431579205,16.996463428844105,300.2107637826663,300.2107637826663
7507.813582807762,689251.2245471552,1422.1398677009022,1515669.9994390132,798330.0000055261,1.1362093431534903,16.970705552534625,300.20277087149884,300.20277087149884
7508.833582807784,689711.8490415849,1421.5155338512602,1515669.9994081822,798329.9999923179,1.1362093431523297,16.94494767622514,300.1947797621646,300.1947797621646
7509.833582807806,690163.0361528189,1420.904309753208,1515669.9994053692,798329.9999938855,1.1362093431522473,16.919696114280008,300.1869470974609,300.1869470974609
7510.853582807828,690622.8330303433,1420.2817459157,1515669.9994122651,798330.000003231,1.1362093431536868,16.893938237970527,300.1789595774741,300.1789595774741
7511.873582807851,691082.2114962081,1419.6600750344287,1515669.9994002846,798329.9999957486,1.136209343154114,16.868180361661047,300.1709738795597,300.1709738795597
7512.8735828078725,691532.1760294645,1419.0514601520772,1515669.9993917064,798329.9999917272,1.1362093431544948,16.842927065762606,300.16314653843,300.16314653843
7513.893582807895,691990.7248804292,1418.4315561532367,1515669.9993843448,798329.9999917691,1.1362093431550184,16.817170923406426,300.1551644657797,300.1551644657797
7514.913582807917,692448.8543168139,1417.8125435655916,1515669.9993976464,798330.0000031282,1.1362093431559916,16.791413047096945,300.147184231399,300.147184231399
7515.913582807939,692897.5933416241,1417.2065333029568,1515669.999391625,798329.9999974438,1.1362093431539173,16.766159751198508,300.13936226124565,300.13936226124565
7516.933582807961,693354.891188737,1416.5892844521188,1515669.9993831073,798329.9999997385,1.1362093431556404,16.740403608842332,300.1313856807463,300.1313856807463
7517.953582807983,693811.7686302194,1415.9729254242823,1515669.9993957672,798330.0000043717,1.1362093431554192,16.714645732532848,300.1234109513493,300.1234109513493
7518.953582808005,694259.2792507603,1415.3695151625352,1515669.9993958878,798330.0000119808,1.1362093431564886,16.68939243663441,300.11559438970204,300.11559438970204
7519.9735828080275,694715.3231519368,1414.7549167403536,1515669.9994046127,798330.0000231548,1.1362093431597409,16.66363456032493,300.10762333660074,300.10762333660074
7520.99358280805,695170.9456681565,1414.1412065256811,1515669.999404468,798330.0000165851,1.1362093431591787,16.63787841796875,300.09965414451887,300.09965414451887
7522.013582808072,695626.1464734373,1413.5283840089173,1515669.9994099021,798330.0000371899,1.1362093431624702,16.612120541659266,300.091686816219,300.091686816219
